nome,historico,football_data_uk,football_data_org,api_football
América-MG,America-MG,America MG,,America Mineiro
América-RN,America-RN,,,
Athletico-PR,Athletico-PR,Athletico-PR,Paranaense,Atletico Paranaense
Atlético-GO,Atletico-GO,Atletico GO,,Atletico Goianiense
Atlético-MG,Atletico-MG,Atletico-MG,Mineiro,Atletico-MG
Avaí,Avai,Avai,,Avai
Bahia,Bahia,Bahia,Bahia,Bahia
Barueri,Barueri,,,
Botafogo,Botafogo-RJ,Botafogo RJ,Botafogo,Botafogo
Bragantino,Bragantino,Bragantino,Bragantino,RB Bragantino
Brasiliense,Brasiliense,,,
CSA,CSA,CSA,,
Ceará,Ceara,Ceara,,Ceara
Chapecoense,Chapecoense,Chapecoense-SC,Chapecoense,Chapecoense-sc
Corinthians,Corinthians,Corinthians,Corinthians,Corinthians
Coritiba,Coritiba,Coritiba,Coritiba,Coritiba
Criciúma,Criciuma,Criciuma,,Criciuma
Cruzeiro,Cruzeiro,Cruzeiro,Cruzeiro,Cruzeiro
Cuiabá,Cuiaba,Cuiaba,,Cuiaba
Figueirense,Figueirense,Figueirense,,
Flamengo,Flamengo,Flamengo RJ,Flamengo,Flamengo
Fluminense,Fluminense,Fluminense,Fluminense,Fluminense
Fortaleza,Fortaleza,Fortaleza,,Fortaleza EC
Goiás,Goias,Goias,,Goias
Grêmio,Gremio,Gremio,Grêmio,Gremio
Grêmio Prudente,Gremio Prudente,,,
Guarani,Guarani,,,
Internacional,Internacional,Internacional,Internacional,Internacional
Ipatinga,Ipatinga,,,
Joinville,Joinville,Joinville,,
Juventude,Juventude,Juventude,,Juventude
Mirassol,,Mirassol,Mirassol,Mirassol
Náutico,Nautico,Nautico,,
Palmeiras,Palmeiras,Palmeiras,Palmeiras,Palmeiras
Paraná,Parana,Parana,,
Paysandu,Paysandu,,,
Ponte Preta,Ponte Preta,Ponte Preta,,
Portuguesa,Portuguesa,Portuguesa,,
Remo,,Remo,Clube do Remo,Remo
Santa Cruz,Santa Cruz,Santa Cruz,,
Santo André,Santo Andre,,,
Santos,Santos,Santos,Santos,Santos
São Caetano,Sao Caetano,,,
São Paulo,Sao Paulo,Sao Paulo,São Paulo,Sao Paulo
Sport,Sport,Sport Recife,,Sport Recife
Vasco,Vasco,Vasco,Vasco da Gama,Vasco DA Gama
Vitória,Vitoria,Vitoria,Vitória,Vitoria
